,id,province,adcode,model,regYear,regMonth,carCommentVolum
0,1,上海,310000,3c974920a76ac9c1,2018,1,1825.0
1,2,云南,530000,3c974920a76ac9c1,2018,1,1752.0
2,3,内蒙古,150000,3c974920a76ac9c1,2018,1,1942.0
3,4,北京,110000,3c974920a76ac9c1,2018,1,1572.0
4,5,四川,510000,3c974920a76ac9c1,2018,1,1700.0
5,6,安徽,340000,3c974920a76ac9c1,2018,1,1738.0
6,7,山东,370000,3c974920a76ac9c1,2018,1,1786.0
7,8,山西,140000,3c974920a76ac9c1,2018,1,1708.0
8,9,广东,440000,3c974920a76ac9c1,2018,1,1589.0
9,10,广西,450000,3c974920a76ac9c1,2018,1,1767.0
10,11,江苏,320000,3c974920a76ac9c1,2018,1,1691.0
11,12,江西,360000,3c974920a76ac9c1,2018,1,1680.0
12,13,河北,130000,3c974920a76ac9c1,2018,1,1654.0
13,14,河南,410000,3c974920a76ac9c1,2018,1,1676.0
14,15,浙江,330000,3c974920a76ac9c1,2018,1,1638.0
15,16,湖北,420000,3c974920a76ac9c1,2018,1,1647.0
16,17,湖南,430000,3c974920a76ac9c1,2018,1,1701.0
17,18,福建,350000,3c974920a76ac9c1,2018,1,1779.0
18,19,辽宁,210000,3c974920a76ac9c1,2018,1,1640.0
19,20,重庆,500000,3c974920a76ac9c1,2018,1,1638.0
20,21,陕西,610000,3c974920a76ac9c1,2018,1,1782.0
21,22,黑龙江,230000,3c974920a76ac9c1,2018,1,1606.0
22,23,上海,310000,3d7554f1f56dd664,2018,1,3121.0
23,24,云南,530000,3d7554f1f56dd664,2018,1,3281.0
24,25,内蒙古,150000,3d7554f1f56dd664,2018,1,3299.0
25,26,北京,110000,3d7554f1f56dd664,2018,1,3219.0
26,27,四川,510000,3d7554f1f56dd664,2018,1,3189.0
27,28,安徽,340000,3d7554f1f56dd664,2018,1,3218.0
28,29,山东,370000,3d7554f1f56dd664,2018,1,3279.0
29,30,山西,140000,3d7554f1f56dd664,2018,1,3126.0
30,31,广东,440000,3d7554f1f56dd664,2018,1,3159.0
